@relation datos_simplificados

@attribute blueWins {FALSE,TRUE}
@attribute blueFirstBlood {TRUE,FALSE}
@attribute blueKills numeric
@attribute blueDeaths numeric
@attribute blueAssists numeric
@attribute blueDragons {FALSE,TRUE}
@attribute blueHeralds {FALSE,TRUE}
@attribute blueTowersDestroyed numeric
@attribute blueAvgLevel numeric
@attribute blueTotalMinionsKilled numeric
@attribute blueGoldDiff numeric
@attribute blueExperienceDiff numeric
@attribute redFirstBlood {FALSE,TRUE}
@attribute redKills numeric
@attribute redDeaths numeric
@attribute redAssists numeric
@attribute redDragons {FALSE,TRUE}
@attribute redHeralds numeric
@attribute redTowersDestroyed numeric
@attribute redAvgLevel numeric
@attribute redTotalMinionsKilled numeric
@attribute redGoldDiff numeric
@attribute redExperienceDiff numeric

@data
FALSE,FALSE,3,4,6,FALSE,FALSE,0,6.8,235,-809,638,TRUE,4,3,7,TRUE,1,0,6.8,218,809,-638
FALSE,FALSE,2,8,2,TRUE,FALSE,0,7.2,217,-2771,-1125,TRUE,8,2,5,FALSE,0,0,7.4,234,2771,1125
FALSE,TRUE,5,6,4,FALSE,TRUE,0,6.8,203,-1730,-1236,FALSE,6,5,6,TRUE,0,0,7,214,1730,1236
FALSE,FALSE,7,9,5,FALSE,TRUE,0,7.2,234,-904,1377,TRUE,9,7,9,TRUE,0,0,7,227,904,-1377
FALSE,FALSE,3,6,3,FALSE,TRUE,0,6.6,213,-1683,-1363,TRUE,6,3,6,TRUE,0,0,7,236,1683,1363
FALSE,FALSE,4,11,3,FALSE,FALSE,0,6.8,222,-3025,-1833,TRUE,11,4,16,TRUE,0,0,7.2,213,3025,1833
TRUE,FALSE,10,6,12,FALSE,FALSE,0,7.4,231,3004,2300,TRUE,6,10,7,FALSE,0,0,7,185,-3004,-2300
TRUE,FALSE,9,6,14,TRUE,FALSE,0,6.8,204,1574,761,TRUE,6,9,6,FALSE,0,0,6.8,194,-1574,-761
TRUE,TRUE,5,5,3,FALSE,FALSE,0,6.6,233,-1036,-1423,FALSE,5,5,4,FALSE,0,0,7,221,1036,1423
FALSE,TRUE,3,4,2,FALSE,TRUE,0,7.4,252,16,433,FALSE,4,3,2,TRUE,0,0,7,243,-16,-433
FALSE,FALSE,1,10,0,FALSE,FALSE,0,6.4,187,-6386,-4210,TRUE,10,1,6,FALSE,1,1,7.2,247,6386,4210
TRUE,TRUE,11,2,9,FALSE,FALSE,0,7.6,251,5096,3310,FALSE,2,11,2,FALSE,0,0,6.4,196,-5096,-3310
TRUE,TRUE,8,4,5,TRUE,FALSE,1,7,218,2756,1683,FALSE,4,8,5,FALSE,0,0,6.8,200,-2756,-1683
TRUE,FALSE,2,3,2,FALSE,TRUE,0,6.6,180,-977,-1025,TRUE,3,2,1,FALSE,0,0,6.8,218,977,1025
FALSE,FALSE,5,5,8,FALSE,FALSE,0,6.8,206,-808,-1655,TRUE,5,5,6,FALSE,0,0,7.2,241,808,1655
FALSE,FALSE,7,9,5,FALSE,FALSE,0,6.6,209,-1559,-407,TRUE,9,7,13,TRUE,0,0,6.8,206,1559,407
TRUE,FALSE,6,8,6,FALSE,FALSE,0,7,213,544,75,TRUE,8,6,7,FALSE,0,0,7,182,-544,-75
TRUE,TRUE,5,2,2,TRUE,TRUE,0,7,217,1381,1017,FALSE,2,5,1,FALSE,0,0,7,212,-1381,-1017
TRUE,TRUE,5,3,5,FALSE,FALSE,0,7.4,248,2031,1449,FALSE,3,5,5,TRUE,0,0,7,210,-2031,-1449
FALSE,FALSE,3,3,2,TRUE,FALSE,0,7,246,131,370,TRUE,3,3,1,FALSE,0,0,7.2,227,-131,-370
FALSE,FALSE,4,10,4,FALSE,TRUE,0,7,224,-2699,-2749,TRUE,10,4,11,TRUE,0,0,7.4,201,2699,2749
FALSE,TRUE,5,7,7,TRUE,FALSE,0,6.8,181,-1672,-2698,FALSE,7,5,6,FALSE,0,0,7.4,218,1672,2698
TRUE,TRUE,10,6,11,TRUE,FALSE,0,7.2,213,1201,316,FALSE,6,10,5,FALSE,0,0,6.8,234,-1201,-316
TRUE,TRUE,7,5,5,TRUE,TRUE,0,7,222,-108,59,FALSE,5,7,4,FALSE,0,0,6.8,247,108,-59
FALSE,FALSE,10,7,11,FALSE,FALSE,1,7.2,236,4633,2269,TRUE,7,10,6,TRUE,0,0,6.6,182,-4633,-2269
FALSE,FALSE,2,7,0,FALSE,FALSE,0,6.6,191,-2262,-1391,TRUE,7,2,4,TRUE,0,0,6.8,218,2262,1391
FALSE,FALSE,6,7,5,FALSE,FALSE,0,7,208,-49,500,TRUE,7,6,10,TRUE,0,0,6.8,207,49,-500
TRUE,TRUE,6,4,4,TRUE,FALSE,0,7.2,229,1687,1089,FALSE,4,6,5,FALSE,1,0,7.2,232,-1687,-1089
TRUE,TRUE,9,1,10,TRUE,TRUE,0,7.2,229,3933,2922,FALSE,1,9,1,FALSE,0,0,6.4,233,-3933,-2922
FALSE,FALSE,4,10,3,TRUE,FALSE,0,6.6,203,-4061,-4397,TRUE,10,4,6,FALSE,0,0,7.4,224,4061,4397
FALSE,FALSE,6,12,7,FALSE,FALSE,0,6.6,188,-4920,-3280,TRUE,12,6,11,FALSE,1,1,7.4,240,4920,3280
FALSE,FALSE,4,5,2,FALSE,FALSE,0,7,210,-1705,-1839,TRUE,5,4,1,FALSE,0,0,7.2,227,1705,1839
FALSE,TRUE,7,8,8,TRUE,FALSE,0,6.8,212,105,-1547,FALSE,8,7,5,FALSE,1,0,7,200,-105,1547
TRUE,FALSE,3,5,3,FALSE,FALSE,0,7,233,-554,521,TRUE,5,3,6,TRUE,0,0,6.8,234,554,-521
FALSE,TRUE,4,5,4,FALSE,FALSE,0,6.8,198,-1037,-1577,FALSE,5,4,5,TRUE,0,0,7,241,1037,1577
FALSE,TRUE,9,8,7,FALSE,TRUE,0,7,202,-1144,480,FALSE,8,9,11,TRUE,0,1,7,199,1144,-480
TRUE,TRUE,5,4,6,FALSE,FALSE,0,6.8,200,1173,953,FALSE,4,5,3,TRUE,0,0,6.6,186,-1173,-953
FALSE,TRUE,8,2,11,FALSE,FALSE,0,7,232,3194,2534,FALSE,2,8,2,TRUE,0,0,6.6,208,-3194,-2534
FALSE,TRUE,2,7,1,TRUE,FALSE,0,6.6,204,-2622,-1136,FALSE,7,2,7,FALSE,0,0,6.8,192,2622,1136
TRUE,TRUE,6,4,4,TRUE,FALSE,0,7.2,242,1151,470,FALSE,4,6,3,FALSE,1,0,7,205,-1151,-470
TRUE,TRUE,6,4,8,TRUE,TRUE,0,6.8,200,1463,1490,FALSE,4,6,8,FALSE,0,0,6.6,169,-1463,-1490
FALSE,FALSE,4,6,1,FALSE,FALSE,0,7,221,-1038,-1307,TRUE,6,4,5,TRUE,1,0,7.2,226,1038,1307
TRUE,TRUE,8,4,7,FALSE,TRUE,0,6.6,212,1424,1060,FALSE,4,8,5,FALSE,0,0,6.4,180,-1424,-1060
TRUE,FALSE,13,9,18,TRUE,FALSE,0,7.4,232,527,721,TRUE,9,13,5,FALSE,0,0,7,216,-527,-721
FALSE,FALSE,7,6,12,FALSE,FALSE,0,7.2,242,1807,932,TRUE,6,7,9,TRUE,1,0,6.8,198,-1807,-932
FALSE,TRUE,11,4,12,FALSE,TRUE,0,7.4,256,2856,1262,FALSE,4,11,6,TRUE,0,0,7.2,210,-2856,-1262
FALSE,FALSE,6,6,10,TRUE,FALSE,0,6.6,204,-964,-2454,TRUE,6,6,3,FALSE,1,0,7,241,964,2454
FALSE,FALSE,7,8,6,FALSE,TRUE,0,7,199,-178,524,TRUE,8,7,6,TRUE,0,0,6.8,178,178,-524
TRUE,FALSE,9,8,7,TRUE,FALSE,0,7,235,705,192,TRUE,8,9,8,FALSE,0,0,7,207,-705,-192
TRUE,FALSE,10,10,14,TRUE,FALSE,0,7,208,908,306,TRUE,10,10,16,FALSE,0,0,7,210,-908,-306
TRUE,FALSE,7,2,12,TRUE,TRUE,0,7.2,261,3558,3243,TRUE,2,7,3,FALSE,0,0,6.8,220,-3558,-3243
FALSE,FALSE,1,6,0,FALSE,FALSE,0,6.8,241,-1299,-49,TRUE,6,1,3,TRUE,0,0,7,218,1299,49
TRUE,FALSE,5,8,7,TRUE,FALSE,0,6.6,201,-1763,-1864,TRUE,8,5,6,FALSE,0,0,7.2,248,1763,1864
TRUE,FALSE,10,4,12,FALSE,FALSE,0,7.4,232,2547,2189,TRUE,4,10,4,FALSE,0,0,6.6,247,-2547,-2189
FALSE,FALSE,3,10,2,TRUE,FALSE,0,6.6,210,-3685,-3119,TRUE,10,3,13,FALSE,1,0,7.4,200,3685,3119
FALSE,TRUE,7,11,3,FALSE,FALSE,0,6.4,194,-3689,-4682,FALSE,11,7,7,TRUE,0,0,7.2,216,3689,4682
FALSE,TRUE,3,5,2,FALSE,FALSE,0,7.2,236,-764,803,FALSE,5,3,6,TRUE,1,0,6.8,233,764,-803
TRUE,TRUE,9,2,5,FALSE,FALSE,0,7.2,223,3037,2694,FALSE,2,9,2,TRUE,0,0,6.6,213,-3037,-2694
TRUE,TRUE,7,7,6,FALSE,FALSE,1,7.2,257,3545,2162,FALSE,7,7,10,TRUE,0,0,6.6,145,-3545,-2162
FALSE,FALSE,7,7,10,TRUE,FALSE,0,7.2,209,-1031,-394,TRUE,7,7,7,FALSE,0,0,7.4,255,1031,394
FALSE,FALSE,5,10,6,FALSE,FALSE,0,7,213,-1796,-749,TRUE,10,5,15,TRUE,0,0,7,214,1796,749
TRUE,TRUE,5,4,9,FALSE,FALSE,0,6.8,247,1626,747,FALSE,4,5,5,TRUE,0,0,7,203,-1626,-747
TRUE,FALSE,6,8,10,FALSE,TRUE,0,7.2,250,832,1330,TRUE,8,6,11,TRUE,0,0,7,186,-832,-1330
TRUE,FALSE,11,6,11,TRUE,TRUE,0,7.4,242,2750,2647,TRUE,6,11,9,FALSE,0,0,7,203,-2750,-2647
FALSE,FALSE,5,8,4,FALSE,TRUE,0,6.8,227,-1524,-827,TRUE,8,5,11,FALSE,0,0,7,186,1524,827
FALSE,TRUE,6,8,2,TRUE,FALSE,0,6.6,224,-1370,-875,FALSE,8,6,9,FALSE,0,0,7,210,1370,875
FALSE,FALSE,4,6,4,FALSE,FALSE,0,6.6,209,-1506,-412,TRUE,6,4,7,TRUE,0,0,7,231,1506,412
FALSE,FALSE,6,7,2,FALSE,FALSE,0,6.6,199,-1101,-718,TRUE,7,6,5,TRUE,1,0,7,212,1101,718
FALSE,FALSE,8,3,7,FALSE,TRUE,0,7.2,252,2774,2207,TRUE,3,8,2,TRUE,0,0,6.6,225,-2774,-2207
FALSE,FALSE,8,11,9,FALSE,FALSE,0,7,222,-1806,-588,TRUE,11,8,13,TRUE,1,0,7,215,1806,588
FALSE,FALSE,6,4,8,TRUE,FALSE,0,7,248,1265,1248,TRUE,4,6,4,FALSE,1,0,6.8,207,-1265,-1248
TRUE,FALSE,6,14,4,FALSE,FALSE,0,6.6,200,-4443,-4140,TRUE,14,6,9,TRUE,0,0,7.6,227,4443,4140
FALSE,FALSE,3,5,1,FALSE,FALSE,0,7.2,233,-927,967,TRUE,5,3,7,TRUE,0,0,7,216,927,-967
TRUE,TRUE,9,5,9,FALSE,FALSE,0,7,221,1425,728,FALSE,5,9,3,TRUE,1,0,6.8,208,-1425,-728
TRUE,FALSE,6,4,6,TRUE,FALSE,0,7.4,211,1177,1161,TRUE,4,6,2,FALSE,0,0,7,204,-1177,-1161
TRUE,TRUE,2,7,2,TRUE,FALSE,0,7,231,-1586,410,FALSE,7,2,14,FALSE,1,0,6.8,211,1586,-410
FALSE,FALSE,5,10,3,TRUE,TRUE,0,6.8,232,-2896,-2081,TRUE,10,5,6,FALSE,0,0,7.4,236,2896,2081
TRUE,FALSE,12,9,10,FALSE,FALSE,0,6.4,143,905,1054,TRUE,9,12,9,FALSE,0,0,6.2,181,-905,-1054
FALSE,TRUE,9,17,17,FALSE,FALSE,0,6.2,187,-3887,-3392,FALSE,17,9,21,FALSE,0,0,7,211,3887,3392
TRUE,TRUE,12,6,12,TRUE,FALSE,0,7.2,202,3413,2984,FALSE,6,12,7,FALSE,0,0,6.6,210,-3413,-2984
FALSE,TRUE,7,9,5,TRUE,TRUE,0,7,228,-256,-1580,FALSE,9,7,7,FALSE,0,0,7.4,230,256,1580
TRUE,TRUE,7,10,7,FALSE,FALSE,0,6.8,227,-1820,-1412,FALSE,10,7,11,FALSE,0,0,7.2,231,1820,1412
TRUE,TRUE,6,4,12,TRUE,FALSE,0,6.8,224,625,-534,FALSE,4,6,4,FALSE,0,0,7,217,-625,534
FALSE,FALSE,2,6,1,FALSE,FALSE,0,6.8,196,-3628,-2009,TRUE,6,2,4,TRUE,0,0,7,266,3628,2009
FALSE,TRUE,5,5,7,FALSE,TRUE,0,6.8,217,769,480,FALSE,5,5,6,TRUE,0,0,6.4,233,-769,-480
FALSE,FALSE,8,8,8,TRUE,FALSE,0,7,229,-576,-682,TRUE,8,8,6,FALSE,1,0,7,198,576,682
FALSE,FALSE,3,9,2,FALSE,FALSE,0,6.4,213,-3900,-3550,TRUE,9,3,8,TRUE,0,0,7.6,255,3900,3550
TRUE,FALSE,9,8,10,TRUE,FALSE,0,7,192,-7,-231,TRUE,8,9,8,FALSE,1,0,7.2,209,7,231
TRUE,TRUE,10,7,10,FALSE,FALSE,0,7.2,207,1683,1433,FALSE,7,10,5,TRUE,0,0,7,231,-1683,-1433
FALSE,FALSE,3,10,2,FALSE,FALSE,0,6.8,193,-4782,-3408,TRUE,10,3,11,TRUE,0,0,7.4,245,4782,3408
TRUE,TRUE,9,7,11,TRUE,FALSE,0,7,205,636,-214,FALSE,7,9,9,FALSE,0,0,6.8,215,-636,214
TRUE,FALSE,7,14,6,TRUE,FALSE,0,6.2,183,-3421,-2624,TRUE,14,7,12,FALSE,0,0,7.2,219,3421,2624
TRUE,FALSE,5,3,6,TRUE,FALSE,0,7.2,240,976,1599,TRUE,3,5,5,FALSE,0,0,6.8,230,-976,-1599
FALSE,FALSE,6,7,6,FALSE,FALSE,0,6.8,212,-211,-1305,TRUE,7,6,7,FALSE,1,0,7.2,211,211,1305
TRUE,FALSE,7,5,6,FALSE,FALSE,0,6.8,215,1221,462,TRUE,5,7,5,FALSE,0,0,6.8,197,-1221,-462
TRUE,FALSE,7,1,8,FALSE,FALSE,0,7.2,226,2037,1291,TRUE,1,7,0,TRUE,0,0,6.6,217,-2037,-1291
TRUE,TRUE,6,3,11,TRUE,FALSE,0,7,241,817,-94,FALSE,3,6,3,FALSE,0,0,6.8,229,-817,94
TRUE,TRUE,4,4,4,FALSE,FALSE,0,7,215,-137,-351,FALSE,4,4,1,TRUE,0,0,7,227,137,351
TRUE,TRUE,4,7,4,TRUE,FALSE,0,6.4,226,-1539,-1497,FALSE,7,4,12,FALSE,0,0,7.2,205,1539,1497
FALSE,FALSE,5,7,4,FALSE,FALSE,0,6.4,191,-1707,-1286,TRUE,7,5,10,TRUE,0,0,7,216,1707,1286
TRUE,FALSE,6,9,2,TRUE,FALSE,0,7,228,-556,-235,TRUE,9,6,13,FALSE,0,0,6.8,143,556,235
TRUE,TRUE,9,7,15,TRUE,FALSE,0,6.6,199,-146,-717,FALSE,7,9,8,FALSE,1,0,6.8,225,146,717
TRUE,TRUE,12,4,9,FALSE,TRUE,0,7.2,227,4083,2884,FALSE,4,12,1,TRUE,0,0,6.6,191,-4083,-2884
TRUE,FALSE,5,5,6,FALSE,FALSE,0,7.2,223,1389,1418,TRUE,5,5,7,TRUE,0,0,6.8,226,-1389,-1418
FALSE,FALSE,3,4,3,TRUE,FALSE,0,6.4,211,-890,-528,TRUE,4,3,5,FALSE,1,0,6.4,208,890,528
FALSE,TRUE,4,9,5,FALSE,FALSE,0,6.4,192,-2519,-1095,FALSE,9,4,15,FALSE,0,0,6.4,194,2519,1095
FALSE,FALSE,4,15,4,FALSE,FALSE,0,6.2,183,-4440,-4020,TRUE,15,4,14,FALSE,0,0,7.4,201,4440,4020
TRUE,TRUE,7,6,7,FALSE,FALSE,0,7.2,251,1140,705,FALSE,6,7,4,TRUE,1,0,7.2,190,-1140,-705
FALSE,TRUE,5,7,2,FALSE,FALSE,0,6.4,172,-1656,-1832,FALSE,7,5,3,FALSE,0,0,6.8,219,1656,1832
TRUE,FALSE,10,5,16,FALSE,FALSE,0,6.4,192,2171,-261,TRUE,5,10,6,TRUE,1,0,6.6,199,-2171,261
TRUE,TRUE,12,4,15,FALSE,FALSE,0,7.2,206,3841,2484,FALSE,4,12,3,FALSE,0,0,6.8,216,-3841,-2484
TRUE,FALSE,4,11,5,FALSE,TRUE,1,6.6,232,-885,-2172,TRUE,11,4,15,TRUE,0,0,7.2,216,885,2172
FALSE,FALSE,3,8,4,TRUE,TRUE,0,6.6,191,-2752,-2286,TRUE,8,3,9,FALSE,0,0,7.2,241,2752,2286
TRUE,TRUE,13,9,22,FALSE,FALSE,0,7,207,2081,466,FALSE,9,13,11,FALSE,0,0,7,200,-2081,-466
FALSE,TRUE,4,3,4,FALSE,FALSE,0,6.6,232,453,-19,FALSE,3,4,3,FALSE,0,0,6.8,209,-453,19
FALSE,TRUE,3,1,3,TRUE,FALSE,0,6.6,224,830,-1002,FALSE,1,3,1,FALSE,1,0,6.8,220,-830,1002
FALSE,FALSE,8,8,3,FALSE,FALSE,0,6.8,203,94,-445,TRUE,8,8,6,FALSE,0,0,7,168,-94,445
FALSE,FALSE,8,6,12,TRUE,TRUE,0,7,178,-722,891,TRUE,6,8,6,FALSE,0,0,6.6,232,722,-891
FALSE,FALSE,6,7,10,FALSE,TRUE,0,6.8,230,-1491,-799,TRUE,7,6,11,TRUE,0,0,7,222,1491,799
FALSE,FALSE,6,14,3,FALSE,FALSE,0,6.8,198,-3109,-1745,TRUE,14,6,16,TRUE,1,0,7,201,3109,1745
FALSE,TRUE,7,11,9,FALSE,FALSE,0,7.2,230,537,-477,FALSE,11,7,11,TRUE,0,0,7.2,178,-537,477
TRUE,FALSE,13,5,10,TRUE,TRUE,0,7.8,222,4079,5568,TRUE,5,13,6,FALSE,0,0,6.6,208,-4079,-5568
TRUE,FALSE,10,5,13,FALSE,FALSE,1,7.2,213,4006,2081,TRUE,5,10,6,FALSE,0,0,6.6,210,-4006,-2081
FALSE,TRUE,3,10,4,FALSE,FALSE,0,6.4,200,-3582,-5395,FALSE,10,3,10,TRUE,1,0,7.6,246,3582,5395
TRUE,FALSE,6,6,5,FALSE,FALSE,0,7,205,-355,233,TRUE,6,6,5,TRUE,0,0,7,224,355,-233
TRUE,TRUE,7,6,8,FALSE,FALSE,1,6.6,207,3464,994,FALSE,6,7,6,FALSE,0,0,6.4,178,-3464,-994
TRUE,TRUE,9,5,9,TRUE,FALSE,0,7,225,2217,2183,FALSE,5,9,3,FALSE,1,0,6.6,229,-2217,-2183
TRUE,TRUE,8,3,9,TRUE,TRUE,0,7.2,235,3049,1511,FALSE,3,8,2,FALSE,0,0,7,234,-3049,-1511
TRUE,FALSE,5,6,4,TRUE,FALSE,0,7,198,-305,-474,TRUE,6,5,7,FALSE,0,0,7,199,305,474
FALSE,FALSE,4,2,6,TRUE,FALSE,0,7,229,1325,479,TRUE,2,4,1,FALSE,1,0,7,218,-1325,-479
TRUE,TRUE,6,6,10,FALSE,FALSE,0,6.4,221,-53,87,FALSE,6,6,9,TRUE,0,0,6.4,203,53,-87
FALSE,FALSE,5,9,5,FALSE,FALSE,0,6.6,196,-2865,-1441,TRUE,9,5,7,TRUE,0,0,6.8,237,2865,1441
FALSE,TRUE,7,7,5,FALSE,FALSE,0,6.8,215,-93,-561,FALSE,7,7,8,TRUE,0,0,7,217,93,561
FALSE,TRUE,6,7,7,FALSE,FALSE,0,6.6,225,-420,-1185,FALSE,7,6,10,TRUE,0,0,7.2,212,420,1185
TRUE,TRUE,7,3,6,TRUE,FALSE,0,7.4,253,5008,2355,FALSE,3,7,3,FALSE,1,0,6.8,179,-5008,-2355
FALSE,TRUE,4,6,1,FALSE,FALSE,0,6.4,188,-2074,-1795,FALSE,6,4,5,TRUE,1,0,6.8,196,2074,1795
TRUE,FALSE,5,4,7,FALSE,TRUE,0,6.8,188,-3,1013,TRUE,4,5,7,FALSE,0,0,6.6,190,3,-1013
FALSE,TRUE,5,5,5,FALSE,FALSE,0,7,213,-837,-660,FALSE,5,5,7,TRUE,1,0,7,249,837,660
TRUE,TRUE,5,5,6,TRUE,FALSE,0,6.8,229,510,-747,FALSE,5,5,6,FALSE,1,0,7.2,216,-510,747
FALSE,FALSE,6,11,8,TRUE,FALSE,0,6.8,200,-3549,-2407,TRUE,11,6,12,FALSE,0,0,7.4,214,3549,2407
TRUE,FALSE,6,6,6,FALSE,FALSE,0,7.2,240,272,359,TRUE,6,6,7,TRUE,0,0,6.8,199,-272,-359
TRUE,TRUE,9,5,9,FALSE,FALSE,0,7.2,230,2187,2189,FALSE,5,9,5,FALSE,0,0,7,206,-2187,-2189
FALSE,FALSE,2,8,4,FALSE,FALSE,0,6.2,222,-4907,-2556,TRUE,8,2,11,FALSE,1,1,7,242,4907,2556
TRUE,TRUE,5,4,3,TRUE,FALSE,0,7.4,238,63,648,FALSE,4,5,5,FALSE,0,0,7,210,-63,-648
TRUE,FALSE,4,8,6,FALSE,TRUE,0,7,222,-2132,-484,TRUE,8,4,13,TRUE,0,0,7,230,2132,484
FALSE,FALSE,5,6,5,FALSE,TRUE,0,7,211,-976,-964,TRUE,6,5,8,TRUE,0,0,7.6,222,976,964
FALSE,TRUE,3,5,3,FALSE,FALSE,0,6.6,186,-1342,-1966,FALSE,5,3,6,TRUE,0,0,7.2,218,1342,1966
TRUE,TRUE,8,2,5,TRUE,FALSE,0,7.2,229,2304,2532,FALSE,2,8,2,FALSE,0,0,6.2,208,-2304,-2532
TRUE,FALSE,10,2,11,FALSE,FALSE,0,7.2,218,4219,3379,TRUE,2,10,1,TRUE,0,0,6.6,219,-4219,-3379
