blueWins,blueFirstBlood,blueEliteMonsters,blueDragons,blueTotalGold,blueTotalExperience,blueGoldDiff,blueCSPerMin,redFirstBlood,redEliteMonsters,redDragons,redTotalGold,redTotalExperience,redGoldDiff,redCSPerMin
TRUE,TRUE,1,TRUE,16645,19110,1151,24.2,FALSE,1,FALSE,15494,18640,-1151,20.5
TRUE,TRUE,2,TRUE,16248,17200,1463,20,FALSE,0,FALSE,14785,15710,-1463,16.9
FALSE,FALSE,0,FALSE,15310,18337,-1038,22.1,TRUE,2,TRUE,16348,19644,1038,22.6
TRUE,TRUE,1,FALSE,16784,17242,1424,21.2,FALSE,0,FALSE,15360,16182,-1424,18
TRUE,FALSE,1,TRUE,19032,18951,527,23.2,TRUE,0,FALSE,18505,18230,-527,21.6
FALSE,FALSE,0,FALSE,17518,18342,1807,24.2,TRUE,2,TRUE,15711,17410,-1807,19.8
FALSE,TRUE,1,FALSE,18976,20326,2856,25.6,FALSE,1,TRUE,16120,19064,-2856,21
FALSE,FALSE,1,TRUE,16143,16617,-964,20.4,TRUE,1,FALSE,17107,19071,964,24.1
FALSE,FALSE,1,FALSE,15868,17111,-178,19.9,TRUE,1,TRUE,16046,16587,178,17.8
TRUE,FALSE,1,TRUE,17977,18162,705,23.5,TRUE,0,FALSE,17272,17970,-705,20.7
TRUE,FALSE,1,TRUE,18138,18159,908,20.8,TRUE,0,FALSE,17230,17853,-908,21
TRUE,FALSE,2,TRUE,18025,19864,3558,26.1,TRUE,0,FALSE,14467,16621,-3558,22
FALSE,FALSE,0,FALSE,14625,17769,-1299,24.1,TRUE,1,TRUE,15924,17818,1299,21.8
TRUE,FALSE,1,TRUE,15752,17113,-1763,20.1,TRUE,0,FALSE,17515,18977,1763,24.8
TRUE,FALSE,0,FALSE,18480,19565,2547,23.2,TRUE,0,FALSE,15933,17376,-2547,24.7
FALSE,FALSE,1,TRUE,14995,16206,-3685,21,TRUE,1,FALSE,18680,19325,3685,20
FALSE,TRUE,0,FALSE,15655,15827,-3689,19.4,FALSE,1,TRUE,19344,20509,3689,21.6
FALSE,TRUE,0,FALSE,15562,18590,-764,23.6,FALSE,2,TRUE,16326,17787,764,23.3
TRUE,TRUE,0,FALSE,17139,19137,3037,22.3,FALSE,1,TRUE,14102,16443,-3037,21.3
TRUE,TRUE,0,FALSE,19229,18820,3545,25.7,FALSE,1,TRUE,15684,16658,-3545,14.5
FALSE,FALSE,1,TRUE,16972,19060,-1031,20.9,TRUE,0,FALSE,18003,19454,1031,25.5
FALSE,FALSE,0,FALSE,16249,18383,-1796,21.3,TRUE,1,TRUE,18045,19132,1796,21.4
TRUE,TRUE,0,FALSE,16415,17645,1626,24.7,FALSE,1,TRUE,14789,16898,-1626,20.3
TRUE,FALSE,1,FALSE,18012,19837,832,25,TRUE,1,TRUE,17180,18507,-832,18.6
TRUE,FALSE,2,TRUE,19294,20668,2750,24.2,TRUE,0,FALSE,16544,18021,-2750,20.3
FALSE,FALSE,1,FALSE,15383,17243,-1524,22.7,TRUE,0,FALSE,16907,18070,1524,18.6
FALSE,TRUE,1,TRUE,15777,17401,-1370,22.4,FALSE,0,FALSE,17147,18276,1370,21
FALSE,FALSE,0,FALSE,14805,17323,-1506,20.9,TRUE,1,TRUE,16311,17735,1506,23.1
FALSE,FALSE,0,FALSE,15244,16787,-1101,19.9,TRUE,2,TRUE,16345,17505,1101,21.2
FALSE,FALSE,1,FALSE,17574,19195,2774,25.2,TRUE,1,TRUE,14800,16988,-2774,22.5
FALSE,FALSE,0,FALSE,16655,17831,-1806,22.2,TRUE,2,TRUE,18461,18419,1806,21.5
FALSE,FALSE,1,TRUE,16855,18370,1265,24.8,TRUE,1,FALSE,15590,17122,-1265,20.7
TRUE,FALSE,0,FALSE,15786,16995,-4443,20,TRUE,1,TRUE,20229,21135,4443,22.7
FALSE,FALSE,0,FALSE,15143,19080,-927,23.3,TRUE,1,TRUE,16070,18113,927,21.6
TRUE,TRUE,0,FALSE,17309,18904,1425,22.1,FALSE,2,TRUE,15884,18176,-1425,20.8
TRUE,FALSE,1,TRUE,16416,19684,1177,21.1,TRUE,0,FALSE,15239,18523,-1177,20.4
TRUE,TRUE,1,TRUE,15222,17812,-1586,23.1,FALSE,1,FALSE,16808,17402,1586,21.1
FALSE,FALSE,2,TRUE,15526,17629,-2896,23.2,TRUE,0,FALSE,18422,19710,2896,23.6
TRUE,FALSE,0,FALSE,17597,15938,905,14.3,TRUE,0,FALSE,16692,14884,-905,18.1
FALSE,TRUE,0,FALSE,16834,14815,-3887,18.7,FALSE,0,FALSE,20721,18207,3887,21.1
TRUE,TRUE,1,TRUE,19058,19575,3413,20.2,FALSE,0,FALSE,15645,16591,-3413,21
FALSE,TRUE,2,TRUE,16806,18034,-256,22.8,FALSE,0,FALSE,17062,19614,256,23
TRUE,TRUE,0,FALSE,16643,17554,-1820,22.7,FALSE,0,FALSE,18463,18966,1820,23.1
TRUE,TRUE,1,TRUE,16189,17737,625,22.4,FALSE,0,FALSE,15564,18271,-625,21.7
FALSE,FALSE,0,FALSE,14095,17286,-3628,19.6,TRUE,1,TRUE,17723,19295,3628,26.6
FALSE,TRUE,1,FALSE,16804,17544,769,21.7,FALSE,1,TRUE,16035,17064,-769,23.3
FALSE,FALSE,1,TRUE,17305,18192,-576,22.9,TRUE,1,FALSE,17881,18874,576,19.8
FALSE,FALSE,0,FALSE,14539,16806,-3900,21.3,TRUE,1,TRUE,18439,20356,3900,25.5
TRUE,FALSE,1,TRUE,17530,18299,-7,19.2,TRUE,1,FALSE,17537,18530,7,20.9
TRUE,TRUE,0,FALSE,18431,19562,1683,20.7,FALSE,1,TRUE,16748,18129,-1683,23.1
FALSE,FALSE,0,FALSE,14032,16550,-4782,19.3,TRUE,1,TRUE,18814,19958,4782,24.5
TRUE,TRUE,1,TRUE,17869,17810,636,20.5,FALSE,0,FALSE,17233,18024,-636,21.5
TRUE,FALSE,1,TRUE,15974,16174,-3421,18.3,TRUE,0,FALSE,19395,18798,3421,21.9
TRUE,FALSE,1,TRUE,16108,18920,976,24,TRUE,0,FALSE,15132,17321,-976,23
FALSE,FALSE,0,FALSE,16302,17297,-211,21.2,TRUE,1,FALSE,16513,18602,211,21.1
TRUE,FALSE,0,FALSE,16750,17603,1221,21.5,TRUE,0,FALSE,15529,17141,-1221,19.7
TRUE,FALSE,0,FALSE,16506,18669,2037,22.6,TRUE,1,TRUE,14469,17378,-2037,21.7
TRUE,TRUE,1,TRUE,16389,17937,817,24.1,FALSE,0,FALSE,15572,18031,-817,22.9
TRUE,TRUE,0,FALSE,15760,18295,-137,21.5,FALSE,1,TRUE,15897,18646,137,22.7
TRUE,TRUE,1,TRUE,15176,16820,-1539,22.6,FALSE,0,FALSE,16715,18317,1539,20.5
FALSE,FALSE,0,FALSE,15196,16908,-1707,19.1,TRUE,1,TRUE,16903,18194,1707,21.6
TRUE,FALSE,1,TRUE,16250,17537,-556,22.8,TRUE,0,FALSE,16806,17772,556,14.3
TRUE,TRUE,1,TRUE,16541,16779,-146,19.9,FALSE,1,FALSE,16687,17496,146,22.5
TRUE,TRUE,1,FALSE,18657,19205,4083,22.7,FALSE,1,TRUE,14574,16321,-4083,19.1
TRUE,FALSE,0,FALSE,16873,19105,1389,22.3,TRUE,1,TRUE,15484,17687,-1389,22.6
FALSE,FALSE,1,TRUE,14383,15898,-890,21.1,TRUE,1,FALSE,15273,16426,890,20.8
FALSE,TRUE,0,FALSE,14420,15196,-2519,19.2,FALSE,0,FALSE,16939,16291,2519,19.4
FALSE,FALSE,0,FALSE,14720,15031,-4440,18.3,TRUE,0,FALSE,19160,19051,4440,20.1
TRUE,TRUE,0,FALSE,17406,19761,1140,25.1,FALSE,2,TRUE,16266,19056,-1140,19
FALSE,TRUE,0,FALSE,15210,15974,-1656,17.2,FALSE,0,FALSE,16866,17806,1656,21.9
TRUE,FALSE,0,FALSE,17272,15840,2171,19.2,TRUE,2,TRUE,15101,16101,-2171,19.9
TRUE,TRUE,0,FALSE,19358,19257,3841,20.6,FALSE,0,FALSE,15517,16773,-3841,21.6
TRUE,FALSE,1,FALSE,16855,16360,-885,23.2,TRUE,1,TRUE,17740,18532,885,21.6
FALSE,FALSE,2,TRUE,15209,16256,-2752,19.1,TRUE,0,FALSE,17961,18542,2752,24.1
TRUE,TRUE,0,FALSE,19542,17935,2081,20.7,FALSE,0,FALSE,17461,17469,-2081,20
FALSE,TRUE,0,FALSE,15267,17321,453,23.2,FALSE,0,FALSE,14814,17340,-453,20.9
FALSE,TRUE,1,TRUE,15243,17194,830,22.4,FALSE,1,FALSE,14413,18196,-830,22
FALSE,FALSE,0,FALSE,16214,17234,94,20.3,TRUE,0,FALSE,16120,17679,-94,16.8
FALSE,FALSE,2,TRUE,15976,18227,-722,17.8,TRUE,0,FALSE,16698,17336,722,23.2
FALSE,FALSE,1,FALSE,16557,17632,-1491,23,TRUE,1,TRUE,18048,18431,1491,22.2
FALSE,FALSE,0,FALSE,16142,16953,-3109,19.8,TRUE,2,TRUE,19251,18698,3109,20.1
FALSE,TRUE,0,FALSE,17984,18708,537,23,FALSE,1,TRUE,17447,19185,-537,17.8
TRUE,FALSE,2,TRUE,20038,21588,4079,22.2,TRUE,0,FALSE,15959,16020,-4079,20.8
TRUE,FALSE,0,FALSE,19571,18463,4006,21.3,TRUE,0,FALSE,15565,16382,-4006,21
FALSE,TRUE,0,FALSE,14557,15128,-3582,20,FALSE,2,TRUE,18139,20523,3582,24.6
TRUE,FALSE,0,FALSE,16029,18567,-355,20.5,TRUE,1,TRUE,16384,18334,355,22.4
TRUE,TRUE,0,FALSE,18053,16741,3464,20.7,FALSE,0,FALSE,14589,15747,-3464,17.8
TRUE,TRUE,1,TRUE,18098,18905,2217,22.5,FALSE,1,FALSE,15881,16722,-2217,22.9
TRUE,TRUE,2,TRUE,18343,19519,3049,23.5,FALSE,0,FALSE,15294,18008,-3049,23.4
TRUE,FALSE,1,TRUE,15596,17998,-305,19.8,TRUE,0,FALSE,15901,18472,305,19.9
FALSE,FALSE,1,TRUE,15812,17882,1325,22.9,TRUE,1,FALSE,14487,17403,-1325,21.8
TRUE,TRUE,0,FALSE,15947,16477,-53,22.1,FALSE,1,TRUE,16000,16390,53,20.3
FALSE,FALSE,0,FALSE,14997,16532,-2865,19.6,TRUE,1,TRUE,17862,17973,2865,23.7
FALSE,TRUE,0,FALSE,16463,17576,-93,21.5,FALSE,1,TRUE,16556,18137,93,21.7
FALSE,TRUE,0,FALSE,16072,17054,-420,22.5,FALSE,1,TRUE,16492,18239,420,21.2
TRUE,TRUE,1,TRUE,19140,19579,5008,25.3,FALSE,1,FALSE,14132,17224,-5008,17.9
FALSE,TRUE,0,FALSE,14547,15883,-2074,18.8,FALSE,2,TRUE,16621,17678,2074,19.6
TRUE,FALSE,1,FALSE,15644,17717,-3,18.8,TRUE,0,FALSE,15647,16704,3,19
FALSE,TRUE,0,FALSE,15734,17911,-837,21.3,FALSE,2,TRUE,16571,18571,837,24.9
TRUE,TRUE,1,TRUE,16794,17320,510,22.9,FALSE,1,FALSE,16284,18067,-510,21.6
FALSE,FALSE,1,TRUE,15930,17257,-3549,20,TRUE,0,FALSE,19479,19664,3549,21.4
TRUE,FALSE,0,FALSE,16936,18646,272,24,TRUE,1,TRUE,16664,18287,-272,19.9
TRUE,TRUE,0,FALSE,17941,19379,2187,23,FALSE,0,FALSE,15754,17190,-2187,20.6
FALSE,FALSE,0,FALSE,13698,15671,-4907,22.2,TRUE,1,FALSE,18605,18227,4907,24.2
TRUE,TRUE,1,TRUE,15943,19262,63,23.8,FALSE,0,FALSE,15880,18614,-63,21
TRUE,FALSE,1,FALSE,15891,18304,-2132,22.2,TRUE,1,TRUE,18023,18788,2132,23
FALSE,FALSE,1,FALSE,16216,19002,-976,21.1,TRUE,1,TRUE,17192,19966,976,22.2
FALSE,TRUE,0,FALSE,14754,17158,-1342,18.6,FALSE,1,TRUE,16096,19124,1342,21.8
TRUE,TRUE,1,TRUE,16909,18318,2304,22.9,FALSE,0,FALSE,14605,15786,-2304,20.8
TRUE,FALSE,0,FALSE,18858,19691,4219,21.8,TRUE,1,TRUE,14639,16312,-4219,21.9
FALSE,TRUE,0,FALSE,15952,17112,-2049,18,FALSE,0,FALSE,18001,19452,2049,24.3
FALSE,FALSE,0,FALSE,13286,15085,-4179,18.7,TRUE,1,TRUE,17465,18908,4179,23.6
FALSE,FALSE,0,FALSE,16812,18466,-66,26.9,TRUE,1,TRUE,16878,19539,66,24.5
TRUE,FALSE,2,TRUE,17906,18001,510,17.8,TRUE,0,FALSE,17396,17859,-510,21.5
FALSE,TRUE,1,FALSE,16408,19181,2591,26.3,FALSE,1,TRUE,13817,17614,-2591,20.8
FALSE,TRUE,0,FALSE,15056,16369,-3772,19.8,FALSE,1,TRUE,18828,19403,3772,17.7
FALSE,TRUE,1,TRUE,17831,18269,965,24,FALSE,0,FALSE,16866,19147,-965,23.3
FALSE,FALSE,0,FALSE,13738,16678,-3468,22.3,TRUE,2,TRUE,17206,18836,3468,25.9
TRUE,TRUE,0,FALSE,20317,20330,6153,21.2,FALSE,0,FALSE,14164,16414,-6153,19.6
FALSE,FALSE,0,FALSE,14091,16184,-2216,23.3,TRUE,1,TRUE,16307,18914,2216,22.9
FALSE,FALSE,1,TRUE,16036,16916,-2308,19.1,TRUE,0,FALSE,18344,18683,2308,20.6
TRUE,TRUE,1,FALSE,17052,17392,1917,21,FALSE,1,TRUE,15135,17571,-1917,19.4
FALSE,FALSE,0,FALSE,16354,18778,-1676,26.8,TRUE,1,TRUE,18030,20537,1676,24.4
TRUE,TRUE,1,TRUE,18297,19476,2709,24.2,FALSE,0,FALSE,15588,18217,-2709,21.4
FALSE,FALSE,0,FALSE,15748,16524,-1304,22.2,TRUE,1,TRUE,17052,17076,1304,21.6
TRUE,TRUE,1,TRUE,17886,20099,1824,22.9,FALSE,0,FALSE,16062,18690,-1824,22.2
FALSE,FALSE,0,FALSE,17069,16703,229,17.4,TRUE,2,TRUE,16840,16748,-229,21.2
TRUE,FALSE,1,FALSE,16631,19310,1507,25.2,TRUE,0,FALSE,15124,17643,-1507,21.4
FALSE,FALSE,1,TRUE,14766,18364,-1787,23.1,TRUE,0,FALSE,16553,19499,1787,23.5
FALSE,FALSE,0,FALSE,17113,19396,815,23.4,TRUE,0,FALSE,16298,17999,-815,18.2
FALSE,FALSE,1,TRUE,15120,16713,-4767,16.7,TRUE,0,FALSE,19887,21774,4767,23.8
FALSE,FALSE,0,FALSE,15339,16302,-1861,22.1,TRUE,1,TRUE,17200,18834,1861,26.2
FALSE,FALSE,1,TRUE,13438,14164,-7655,17.4,TRUE,0,FALSE,21093,18649,7655,23.4
TRUE,FALSE,0,FALSE,15582,17281,-2058,21.2,TRUE,0,FALSE,17640,19332,2058,22.4
TRUE,FALSE,1,TRUE,15441,17550,-575,20.1,TRUE,0,FALSE,16016,17758,575,21.3
FALSE,TRUE,1,FALSE,16002,18467,1765,24.5,FALSE,0,FALSE,14237,17766,-1765,21.2
FALSE,TRUE,1,FALSE,16009,18033,540,22,FALSE,1,TRUE,15469,17764,-540,18.5
TRUE,FALSE,0,FALSE,18106,16668,862,18.6,TRUE,1,TRUE,17244,17110,-862,20.4
TRUE,TRUE,1,TRUE,16501,18428,2761,22.1,FALSE,0,FALSE,13740,16769,-2761,20.1
FALSE,FALSE,0,FALSE,15505,17721,-1249,22.7,TRUE,1,TRUE,16754,18574,1249,21.4
TRUE,FALSE,0,FALSE,16195,19145,-75,24.4,TRUE,1,TRUE,16270,18490,75,21.7
TRUE,TRUE,1,TRUE,20294,18459,5805,23,FALSE,0,FALSE,14489,13682,-5805,17.8
FALSE,FALSE,1,FALSE,15475,18145,-810,19.8,TRUE,1,TRUE,16285,18450,810,21.2
FALSE,TRUE,1,FALSE,16243,18154,1034,22.5,FALSE,0,FALSE,15209,17448,-1034,22.7
TRUE,TRUE,0,FALSE,15065,17137,-2595,23.1,FALSE,1,FALSE,17660,19993,2595,26
TRUE,FALSE,0,FALSE,14359,17258,-334,22.8,TRUE,1,TRUE,14693,17331,334,22.3
TRUE,TRUE,2,TRUE,19377,20008,3806,23.3,FALSE,0,FALSE,15571,17847,-3806,23.1
FALSE,FALSE,0,FALSE,14135,17185,-2711,22,TRUE,0,FALSE,16846,19732,2711,23
TRUE,TRUE,0,FALSE,17448,18315,2551,24.2,FALSE,0,FALSE,14897,16561,-2551,19.5
FALSE,TRUE,1,TRUE,15958,17693,66,21.3,FALSE,0,FALSE,15892,18139,-66,25.4
FALSE,FALSE,1,TRUE,18287,18402,2242,21.3,TRUE,0,FALSE,16045,17675,-2242,22.5
FALSE,FALSE,1,FALSE,15534,17975,-893,25.2,TRUE,0,FALSE,16427,18188,893,23.1
FALSE,FALSE,0,FALSE,14935,17703,-1208,23,TRUE,1,TRUE,16143,17855,1208,24.8
TRUE,FALSE,0,FALSE,19331,19387,4003,25.5,TRUE,1,TRUE,15328,16821,-4003,21.5
TRUE,FALSE,1,TRUE,17131,19719,819,24,TRUE,0,FALSE,16312,17570,-819,20.6
TRUE,TRUE,0,FALSE,17983,18340,4009,23,FALSE,1,FALSE,13974,16405,-4009,18.3
FALSE,FALSE,1,TRUE,16842,18443,-259,22.1,TRUE,0,FALSE,17101,19444,259,24.7
FALSE,TRUE,0,FALSE,17569,17101,1728,21.2,FALSE,0,FALSE,15841,17839,-1728,18
FALSE,FALSE,1,FALSE,15882,16956,474,24.1,TRUE,1,TRUE,15408,16563,-474,20.7
FALSE,TRUE,0,FALSE,17049,17241,1863,20.2,FALSE,0,FALSE,15186,16913,-1863,20.4
FALSE,FALSE,0,FALSE,13556,16451,-3846,20,TRUE,1,TRUE,17402,18757,3846,25.3
FALSE,FALSE,0,FALSE,14692,18342,-2373,22.7,TRUE,1,TRUE,17065,19934,2373,25
TRUE,FALSE,1,TRUE,17000,16417,218,20.4,TRUE,0,FALSE,16782,16621,-218,20.9
TRUE,TRUE,0,FALSE,17200,18984,2208,23.5,FALSE,0,FALSE,14992,17055,-2208,21.5
FALSE,FALSE,1,TRUE,15409,18408,-1440,21.7,TRUE,0,FALSE,16849,18781,1440,24.1
FALSE,FALSE,1,TRUE,17283,16235,-845,18.4,TRUE,0,FALSE,18128,17978,845,20.8
FALSE,FALSE,0,FALSE,15477,15965,-2635,17.3,TRUE,1,TRUE,18112,18659,2635,24.1
TRUE,FALSE,2,TRUE,16763,18897,2817,22.4,TRUE,0,FALSE,13946,16483,-2817,20.7
TRUE,FALSE,2,TRUE,18434,20263,2812,22.3,TRUE,0,FALSE,15622,17766,-2812,22.6
FALSE,FALSE,0,FALSE,13731,16666,-3864,21.8,TRUE,1,TRUE,17595,19425,3864,26.3
TRUE,FALSE,1,TRUE,17251,19984,334,23.3,TRUE,0,FALSE,16917,19029,-334,23
TRUE,TRUE,1,TRUE,17051,18864,1909,24.6,FALSE,0,FALSE,15142,16428,-1909,19.6
FALSE,TRUE,0,FALSE,16346,18557,-346,20.9,FALSE,0,FALSE,16692,18915,346,18.2
TRUE,TRUE,0,FALSE,21095,21242,5802,24.9,FALSE,1,TRUE,15293,15846,-5802,18.6
TRUE,TRUE,1,TRUE,16434,18641,1085,22.8,FALSE,0,FALSE,15349,17593,-1085,22
FALSE,TRUE,1,TRUE,15834,18362,-2383,19.7,FALSE,0,FALSE,18217,20169,2383,18.2
